Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Profit
ORD10392,2025-01-01,CUST1147,Table,Furniture,South,7,174.53,0.25,916.28,94.72
ORD10450,2025-01-02,CUST1159,Smartphone,Electronics,East,4,755.07,0.0,3020.28,941.88
ORD10406,2025-01-03,CUST1048,Blender,Home & Kitchen,East,5,119.62,0.05,568.2,113.7
ORD10332,2025-01-03,CUST1175,Blender,Home & Kitchen,South,4,53.89,0.0,215.56,52.82
ORD10131,2025-01-03,CUST1151,Desk,Furniture,East,3,302.24,0.15,770.71,105.74
ORD10067,2025-01-04,CUST1053,Headphones,Electronics,West,7,89.38,0.05,594.38,158.42
ORD10305,2025-01-04,CUST1170,T-Shirt,Clothing,Central,7,53.44,0.0,374.08,48.17
ORD10471,2025-01-05,CUST1009,Headphones,Electronics,Central,6,157.47,0.05,897.58,243.77
ORD10108,2025-01-05,CUST1085,Air Fryer,Home & Kitchen,Central,5,171.77,0.0,858.85,69.84
ORD10132,2025-01-06,CUST1111,Keyboard,Electronics,North,1,94.42,0.1,84.98,13.28
ORD10037,2025-01-07,CUST1041,Bookshelf,Furniture,Central,6,232.85,0.0,1397.1,192.88
ORD10454,2025-01-07,CUST1153,Cookware Set,Home & Kitchen,West,3,139.79,0.15,356.46,40.65
ORD10178,2025-01-08,CUST1097,Desk,Furniture,North,7,400.4,0.25,2102.1,327.99
ORD10181,2025-01-08,CUST1137,Desk,Furniture,West,7,471.68,0.0,3301.76,706.82
ORD10134,2025-01-08,CUST1047,Table,Furniture,North,6,423.04,0.05,2411.33,688.02
ORD10367,2025-01-09,CUST1025,Vacuum Cleaner,Home & Kitchen,West,4,389.71,0.2,1247.07,321.05
ORD10369,2025-01-10,CUST1029,Keyboard,Electronics,East,2,38.97,0.15,66.25,18.0
ORD10216,2025-01-10,CUST1166,Headphones,Electronics,West,3,37.79,,96.36,13.57
ORD10143,2025-01-11,CUST1178,Desk,Furniture,East,7,100.12,0.05,665.8,53.11
ORD10464,2025-01-12,CUST1099,T-Shirt,Clothing,East,7,38.07,0.05,253.17,29.78
ORD10041,2025-01-12,CUST1147,Laptop,Electronics,South,5,649.87,0.25,2437.01,392.62
ORD10439,2025-01-13,CUST1075,Jacket,Clothing,North,2,175.75,0.15,298.77,81.83
ORD10491,2025-01-14,CUST1016,Table,Furniture,West,2,452.73,0.1,814.91,56.18
ORD10116,2025-01-15,CUST1123,Cookware Set,Home & Kitchen,East,2,78.82,0.05,149.76,28.54
ORD10353,2025-01-16,CUST1013,Backpack,Clothing,West,4,55.96,0.05,212.65,53.6
ORD10042,2025-01-16,CUST1084,Table,Furniture,North,1,539.31,0.15,458.41,52.18
ORD10080,2025-01-17,CUST1028,Headphones,Electronics,South,1,161.62,0.15,137.38,25.35
ORD10239,2025-01-17,CUST1027,T-Shirt,Clothing,South,7,38.46,0.0,269.22,79.69
ORD10005,2025-01-17,CUST1157,Keyboard,Electronics,South,4,127.99,0.1,460.76,125.66
ORD10480,2025-01-19,CUST1064,Jacket,Clothing,Central,1,169.74,0.1,152.77,13.41
ORD10162,2025-01-19,CUST1174,Jeans,Clothing,Central,6,56.73,0.2,272.3,46.97
ORD10451,2025-01-22,CUST1124,Vacuum Cleaner,Home & Kitchen,West,2,362.0,0.15,615.4,138.56
ORD10354,2025-01-22,CUST1069,Keyboard,Electronics,North,5,96.73,0.2,386.92,72.76
ORD10008,2025-01-24,CUST1006,Air Fryer,Home & Kitchen,East,4,128.92,0.05,489.9,46.12
ORD10303,2025-01-24,CUST1126,T-Shirt,Clothing,West,6,57.49,0.15,293.2,38.87
ORD10304,2025-01-24,CUST1160,T-Shirt,Clothing,Central,5,19.6,0.15,83.3,9.25
ORD10086,2025-01-25,CUST1049,Desk,Furniture,South,1,102.63,0.2,82.1,12.07
ORD10346,2025-01-25,CUST1157,Jacket,Clothing,West,3,169.67,0.1,458.11,57.59
ORD10085,2025-01-26,CUST1007,Desk,Furniture,Central,3,583.85,0.15,1488.82,200.67
ORD10077,2025-01-28,CUST1098,Air Fryer,Home & Kitchen,North,6,126.79,0.1,684.67,110.51
ORD10009,2025-01-29,CUST1058,Backpack,Clothing,South,2,106.8,0.0,213.6,40.01
ORD10496,2025-01-29,CUST1040,Desk,Furniture,North,5,402.77,0.0,2013.85,168.21
ORD10343,2025-01-30,CUST1177,Monitor,Electronics,East,5,190.47,0.15,809.5,228.26
ORD10419,2025-02-01,CUST1082,T-Shirt,Clothing,East,6,48.49,0.05,276.39,52.56
ORD10363,2025-02-01,CUST1193,Office Chair,Furniture,Central,6,323.08,0.0,1938.48,185.79
ORD10035,2025-02-02,CUST1157,Blender,Home & Kitchen,Central,3,90.79,0.0,272.37,57.13
ORD10477,2025-02-02,CUST1144,Laptop,Electronics,South,7,1093.49,0.15,6506.27,1334.93
ORD10222,2025-02-03,CUST1157,Sneakers,Clothing,East,4,40.71,0.05,154.7,47.13
ORD10197,2025-02-05,CUST1079,Sneakers,Clothing,West,4,123.62,0.15,420.31,61.34
ORD10337,2025-02-07,CUST1141,Vacuum Cleaner,Home & Kitchen,South,6,312.14,0.0,1872.84,311.06
ORD10352,2025-02-08,CUST1071,Cookware Set,Home & Kitchen,North,7,212.88,0.05,1415.65,351.54
ORD10185,2025-02-08,CUST1085,Monitor,Electronics,North,6,207.62,0.05,1183.43,320.05
ORD10300,2025-02-09,CUST1150,Headphones,Electronics,Central,7,30.23,0.15,179.87,28.51
ORD10280,2025-02-09,CUST1057,Coffee Maker,Home & Kitchen,Central,3,201.88,0.0,605.64,105.89
ORD10258,2025-02-10,CUST1177,Backpack,Clothing,North,5,25.11,0.15,106.72,15.82
ORD10290,2025-02-10,CUST1151,Backpack,Clothing,East,1,89.22,0.05,84.76,8.38
ORD10423,2025-02-12,CUST1079,Smartphone,Electronics,South,1,313.17,0.25,234.88,7.64
ORD10445,2025-02-12,CUST1130,Cookware Set,Home & Kitchen,Central,3,197.01,0.0,591.03,147.12
ORD10044,2025-02-12,CUST1066,Cookware Set,Home & Kitchen,Central,7,208.27,0.05,1385.0,340.52
ORD10194,2025-02-13,CUST1114,Sneakers,Clothing,South,7,128.17,0.15,762.61,182.94
ORD10054,2025-02-14,CUST1096,Coffee Maker,Home & Kitchen,East,5,58.97,0.15,250.62,58.44
ORD10121,2025-02-15,CUST1092,Cookware Set,Home & Kitchen,,6,163.79,0.0,982.74,224.16
ORD10294,2025-02-15,CUST1085,Sofa,Furniture,East,7,645.25,0.0,4516.75,660.28
ORD10350,2025-02-16,CUST1026,Jeans,Clothing,West,6,50.3,0.0,301.8,77.78
ORD10483,2025-02-16,CUST1062,Sofa,Furniture,Central,3,511.21,0.05,1456.95,208.71
ORD10102,2025-02-16,CUST1074,Jeans,Clothing,South,6,111.3,0.0,667.8,130.68
ORD10373,2025-02-17,CUST1124,Smartphone,Electronics,East,2,537.65,0.1,967.77,169.5
ORD10152,2025-02-17,CUST1048,Laptop,Electronics,South,3,809.84,0.2,1943.62,114.76
ORD10409,2025-02-18,CUST1022,Cookware Set,Home & Kitchen,Central,3,60.19,0.15,153.48,35.08
ORD10095,2025-02-18,CUST1106,Cookware Set,Home & Kitchen,South,5,289.54,0.2,1158.16,135.32
ORD10479,2025-02-19,CUST1021,Blender,Home & Kitchen,North,6,118.26,0.25,532.17,47.03
ORD10142,2025-02-19,CUST1061,Laptop,Electronics,North,7,1192.76,0.15,7096.92,1385.58
ORD10383,2025-02-20,CUST1086,Backpack,Clothing,East,4,58.99,0.05,224.16,65.12
ORD10097,2025-02-21,CUST1032,Backpack,Clothing,East,2,85.7,0.1,154.26,10.17
ORD10466,2025-02-22,CUST1044,Desk,Furniture,Central,2,134.57,0.15,228.77,30.03
ORD10113,2025-02-23,CUST1015,Cookware Set,Home & Kitchen,South,1,80.13,0.0,80.13,12.93
ORD10322,2025-02-23,CUST1072,T-Shirt,Clothing,East,2,29.04,0.0,58.08,16.45
ORD10207,2025-02-24,CUST1135,Monitor,Electronics,East,6,133.25,0.05,,77.26
ORD10036,2025-02-24,CUST1020,Coffee Maker,Home & Kitchen,Central,3,144.47,0.05,411.74,37.33
ORD10472,2025-02-26,CUST1127,Air Fryer,Home & Kitchen,Central,2,185.9,0.1,334.62,35.43
ORD10101,2025-02-26,CUST1145,Laptop,Electronics,East,2,1185.43,0.1,2133.77,287.04
